hash,blockchain,transaction_type,amount,wallet_address,date,fee_crypto,fee_crypto_symbol,fee_usd,usd_ils_rate,fee_ils_standard,fee_ils_markup_6pct,crypto_amount_sent,error
0x06087369733fea318030951e68b709a988c143a3c9745087e9a11def72adc4a6,ETH,send,0.007999,0x5664dd41ab04c907f89fa5a2ce4e5d319bd3943a,2024-12-12,0.00083104,ETH,2.08,3.571,7.42,7.86,0.007999,
0x5a4d4bf5749b9345f0d4d91e0f3610e89ee6649c036c6331fd13c13e5b4a29f0,USDT-ERC20,send,501.956307,0xe75c9b3d410799fe796e28316f46fbbc983edaa5,2024-12-12,0.00232626,ETH,5.82,3.571,20.77,22.01,501.956307,
3516c66e688acaea8e06cde3a49730fc7eaa0b82d3dca5af95c0aeadbfdc47a2,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/3516c66e688acaea8e06cde3a49730fc7eaa0b82d3dca5af95c0aeadbfdc47a2
575ba1786c2fde90c22237df208df928143e5efff5694e218f2a53646b9637d1,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/575ba1786c2fde90c22237df208df928143e5efff5694e218f2a53646b9637d1
531a86076def1f6d04527e6519aa2db713ec28bdd12b46242764e30479ea4793,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/531a86076def1f6d04527e6519aa2db713ec28bdd12b46242764e30479ea4793
5ac8061022c976f966e7403ecc4c2c5699e916b0f30e5911f3a44bffb6fb2867,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/5ac8061022c976f966e7403ecc4c2c5699e916b0f30e5911f3a44bffb6fb2867
0x5b92ba6671344d7fdd8ade3b70412f7804f3a6bf048528c11a02269eb3cb8b4d,ETH,send,0.250914,0x84dd1a2133d586cae5fad1f483882c792b27a5c8,2024-12-08,0.00021012,ETH,0.53,3.595,1.89,2.0,0.250914,
d227ec9473c26147b31bfb397b5206d3db3088682ce8eb73295e3d94cc61c030,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/d227ec9473c26147b31bfb397b5206d3db3088682ce8eb73295e3d94cc61c030
ba842512ed52d6ce386f02e5a496bbc0027406526dfa3ba16a7aa3c3d6ffd128,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/ba842512ed52d6ce386f02e5a496bbc0027406526dfa3ba16a7aa3c3d6ffd128
4699372525fc2bffcb5d1cf53a8bcf657cf7eee97cad654d02f94856372d6b9a,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/4699372525fc2bffcb5d1cf53a8bcf657cf7eee97cad654d02f94856372d6b9a
f7a082705d9681bcadf6d87c132b332b50d23b65f3daf685194921dc71498bf9,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/f7a082705d9681bcadf6d87c132b332b50d23b65f3daf685194921dc71498bf9
bef93a0b6fd7093e50d1f68f3b29652d804d4feef73e6031faf12849afafd669,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/bef93a0b6fd7093e50d1f68f3b29652d804d4feef73e6031faf12849afafd669
b0bea6542ae806061aeeb66da89f615f4a32684358187ddfc3eb5cfd5452dc0a,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/b0bea6542ae806061aeeb66da89f615f4a32684358187ddfc3eb5cfd5452dc0a
0x17f11e0c76e8c729495de0dea53a76f2d0f77516b5c34949037226d31eb7af3b,ETH,send,0.0287,0xab4b2157073ff748a13d46588123cad9ffbb359d,2024-12-01,0.0003102,ETH,0.78,3.643,2.83,2.99,0.0287,
0x28bf151ab8a18305a1573c4d432eaffef5df051395942c67f9ae3e70c3a49c7a,USDT-ERC20,send,154.885872,0x8fc847fa0f30dbb5d8d4d73fa58abfd038154156,2024-11-27,0.00085436,ETH,2.14,3.654,7.8,8.27,154.885872,
