hash,blockchain,transaction_type,amount,wallet_address,date,fee_crypto,fee_crypto_symbol,fee_usd,usd_ils_rate,fee_ils_standard,fee_ils_markup_6pct
0xdb18357448f4eed7ffd079b77492789e44f12f1f4040ec32fa1a3b461c62b7ac,USDT-ERC20,send,1405.086399,0xf418408a19f50223e9a9782b6cff91fcb8782713,14/12/2025,6.62E-05,ETH,0.21,3.202,0.66,0.7
50844b2c3aff28c53bcad60306b076f06989b6e51d64e9863870d200539dc05d,BTC,send,0.0025943,bc1qtmu2gfqjzewcxyh0qyt87rgz2ydudy6kqwcfyv,14/12/2025,1.70E-06,BTC,0.15,3.202,0.49,0.52
0xb1f9b728d525bc1fce66572a7f1a021b968057f28a1a25987744b6998ac919f6,USDT-ERC20,send,292.69292,0x2e517f2697dcd33359d65582021b24987e3c4d6a,14/12/2025,4.82E-05,ETH,0.15,3.202,0.48,0.51
0x0d780d685fb53fb60c6b43d80709c590d76d13202fd3b79ab2d4f674ae335047,USDT-ERC20,send,29.269292,0x6396730bc54c4224812ccfe8ab68e368f15d0754,14/12/2025,4.83E-05,ETH,0.15,3.202,0.48,0.51
0x43fe9be78efac6f11d612f9acd96af37fbae4d887cec64dac55ac65c1f5b8282,USDT-ERC20,send,351.231504,0x92709e947f4dc1fd53dd5c823b1e5ceea8e918dd,14/12/2025,4.83E-05,ETH,0.15,3.202,0.48,0.51
0x6bed8ad7b619239dafde007fb0b5f1b95a2f1e97630433366b210bd39917ace0,ETH,send,0.013245,0x5e58c32d93ff85300301fb41a65b63e4eedaf5fa,14/12/2025,2.20E-05,ETH,0.07,3.202,0.22,0.23
0x92c6169a053826a34681c3474ecccd0186e02036f6690917ad23e8e2bc30c958,USDT-ERC20,send,102.454216,0xf34d285e0495e1095c16ced329229f9435930a39,14/12/2025,4.82E-05,ETH,0.15,3.202,0.48,0.51
0x42f3c983a19134d3667f619a40371fb55ec68085fb105b2b63923fde3c65440d,USDT-ERC20,send,29.272633,0x4dfe60cdd494e25e98fce5f39690a1d7045f5adf,14/12/2025,4.83E-05,ETH,0.15,3.202,0.48,0.51
9faa2d21b48dec38f235b4786ee6ed48dd9e876350be87f532bdc2e16318fa5c,BTC,send,1.23976056,bc1qzneccdhy4cjurtxgjk9xgrxac4rwaa8xxpuhjk,14/12/2025,3.24E-06,BTC,0.29,3.202,0.94,0.99
0xb73ebb0454b20644b43c1c606b2f8564ae8435606ca978a74f0993eaf90cdd1b,ETH,send,0.066284,0x0eb1ad0b2cbda383a8f58f57581d7d93a6177ec5,14/12/2025,2.21E-05,ETH,0.07,3.202,0.22,0.23
0x73b3a2cb10621458a24a8e2cbf11fd7510a892d39ec3a9459bf68f73ab3c8680,USDT-ERC20,send,278.123396,0xbf425aac4b4d5a19727a01c57ec125b710db6fa2,14/12/2025,4.84E-05,ETH,0.15,3.202,0.48,0.51
0x34e5f129dce125794be2a87f2656d6abdb578dab5616a47322b9026890c77da6,USDT-ERC20,send,702.627528,0x160c3873529f2806fa5dae7b0c831bf179f78ab6,14/12/2025,4.85E-05,ETH,0.15,3.202,0.48,0.51
0xd21a18c24a1007ddd4230d6ef2b6fde14055e065e14f820360914f69ac656cb4,USDT-ERC20,send,819.732116,0x4fb899935526f2a472ce47c0327092fb71924ca4,14/12/2025,4.82E-05,ETH,0.15,3.202,0.48,0.51
0xea7637ffe135e0490cd248dc8ab8016d4f8059aa366558a6e4dc02d5ecbdcb35,USDT-ERC20,send,146.380735,0xc9a53f8f6f4456778e7ead6074ffffe143918257,14/12/2025,4.84E-05,ETH,0.15,3.202,0.48,0.51
0xf63c994389cf22a01b41a3d3adcfd95751bfc844fb179ad83324a65b09ab4497,USDT-ERC20,send,1463.80735,0x160c3873529f2806fa5dae7b0c831bf179f78ab6,14/12/2025,6.62E-05,ETH,0.21,3.202,0.66,0.7
0x230764495327c48b5c4f7b655220492695d2918d1029e8781d98647f6567164a,USDT-ERC20,send,1463.80735,0x4fb899935526f2a472ce47c0327092fb71924ca4,14/12/2025,6.64E-05,ETH,0.21,3.202,0.66,0.7
0x89616af77822de1d6b8d9232393fc3096bb24c5bc04bde8f7f8553afa1ebfa74,USDT-ERC20,send,43.91422,0xb9fbfe6cd4c1878cf84b4745691f999fdfac35a2,14/12/2025,4.83E-05,ETH,0.15,3.202,0.48,0.51
1528c6f37ebe4ec87587a6b525da893d7234d202c6e50b5e714306823f0c537e,BTC,send,1.2538488,bc1qmd8pxx8lks8ey74gnfu6g3gsukedd5kdskm4sx,14/12/2025,2.81E-06,BTC,0.25,3.202,0.81,0.86
0x0844c863e63c348fd23d1bf4bb0ab0e424b206a12842e04933d4bac4419c4ab8,USDT-ERC20,send,878.38728,0xdb4fa157d8dcb97aeed775105f4fe10931e36c9d,14/12/2025,6.63E-05,ETH,0.21,3.202,0.66,0.7
0xe5a28dfb1938fa69c41077c809955b6bf92bed614e3b01569b9cdaadda6a4e41,ETH,send,0.330522,0x17e011caa243d7603836865fb338bc84bb07a9b9,14/12/2025,2.20E-05,ETH,0.07,3.202,0.22,0.23
0xcbd6d52a1a08db8b23d7793c2c184728976f935b5113799517bcc18e7efd635a,USDT-ERC20,send,878.38728,0xb96a67eda165ad802f599a3e56111b4c668078e2,14/12/2025,4.81E-05,ETH,0.15,3.202,0.48,0.51
0x38ff8bd87079589e04dad3f0eeb791771b283a7c57da0e136ba38be867c28990,USDT-ERC20,send,1463.9788,0xb96a67eda165ad802f599a3e56111b4c668078e2,14/12/2025,4.84E-05,ETH,0.15,3.202,0.48,0.51
48c98a4f0ac77a2a934b2d8a754ea928b0935d065fc445bd29aa3ad7b97ac5d5,BTC,send,1.32030961,15DBHCNg7hJizv1eGGH7hr5LuFQmwB91mD,14/12/2025,4.47E-06,BTC,0.4,3.202,1.29,1.37
0x56c4bcef923d03b0925c65de7f60939aac50f6b43f26d69889a92c3e430aba96,ETH,send,0.104461,0xc7f0aee514cfe1fce3ebf5877b36ebf4f5b296af,14/12/2025,2.21E-05,ETH,0.07,3.202,0.22,0.23
0x9056f2abfa2a2fcb639102c25636c9871b0ebee01846e8380d0fcb2dfc8991c4,USDT-ERC20,send,117.104588,0x20423c2040f22af7b65015917ca24307ef4920cf,14/12/2025,6.65E-05,ETH,0.21,3.202,0.66,0.7
0x27344f430d04ac18cb6010c37326c9b83cd71b3a89b2a75aa709524efb692b93,USDT-ERC20,send,87.828441,0x54a56cb3ef49e1facaba0a605c7e4801c3f313ed,14/12/2025,6.63E-05,ETH,0.21,3.202,0.66,0.7
0xac33ce20ef1c72b045af9c22fee3eaf041177caa2d7ade31e7086d267cda0a87,USDT-ERC20,send,87.828441,0x0ed75e0fab2799cc972a944c2414f1496ac98516,14/12/2025,4.81E-05,ETH,0.15,3.202,0.48,0.51
0x11dd6fa3f331854fe381ee04300dc78dc0aca19bccddc2e6ebea522e1bf886d7,USDT-ERC20,send,58.552294,0x677b0ee6986ed8a9ba9b992d9cb0e055c2d18d3b,14/12/2025,6.64E-05,ETH,0.21,3.202,0.66,0.7
0xba3d732678338e8a4d30fbcf7830ada3d861dd6c4c9614594d78869a085f7f08,ETH,send,0.09496,0xc7f0aee514cfe1fce3ebf5877b36ebf4f5b296af,14/12/2025,2.21E-05,ETH,0.07,3.202,0.22,0.23
0x68c6be9c3ea340c74a27ba7ab79c74b59a55848e3a05c034a87506e22ffa9c7c,USDT-ERC20,send,117.090534,0x1bc1e6605a3e523c4b615790fd270be6f91dfd8e,14/12/2025,4.84E-05,ETH,0.15,3.202,0.48,0.51
0xbb85e6504699372d98f636094783ac3ba0663fb41d590b34218b22686aaee693,ETH,send,0.092111,0xc7f0aee514cfe1fce3ebf5877b36ebf4f5b296af,14/12/2025,2.20E-05,ETH,0.07,3.202,0.22,0.23
,,,,,,,,,,,27.93
